NAME,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES
 , ,degrees_north,degrees_east,kts,mb
PENI,1980-01-01 00:00:00,-12.5,172.5, , 
PENI,1980-01-01 03:00:00,-12.2,172.4, , 
PENI,1980-01-01 06:00:00,-11.9,172.4, , 
PENI,1980-01-01 09:00:00,-11.7,172.4, , 
PENI,1980-01-01 12:00:00,-11.5,172.5, , 
PENI,1980-01-01 15:00:00,-11.3,172.6, , 
PENI,1980-01-01 18:00:00,-11.2,172.7, , 
PENI,1980-01-01 21:00:00,-11.2,172.9, , 
PENI,1980-01-02 00:00:00,-11.2,173.0,30,997
PENI,1980-01-02 03:00:00,-11.3,173.1, , 
PENI,1980-01-02 06:00:00,-11.6,173.2, , 
PENI,1980-01-02 09:00:00,-11.8,173.3, , 
PENI,1980-01-02 12:00:00,-12.0,173.5,40,990
PENI,1980-01-02 15:00:00,-12.2,173.7, , 
PENI,1980-01-02 18:00:00,-12.5,173.9, , 
PENI,1980-01-02 21:00:00,-12.7,174.2, , 
PENI,1980-01-03 00:00:00,-13.0,174.4,50,985
PENI,1980-01-03 03:00:00,-13.4,174.6, , 
PENI,1980-01-03 06:00:00,-13.9,174.7, , 
PENI,1980-01-03 09:00:00,-14.4,174.8, , 
PENI,1980-01-03 12:00:00,-15.0,175.0,65,970
PENI,1980-01-03 15:00:00,-15.6,175.1, , 
PENI,1980-01-03 18:00:00,-16.2,175.3, , 
PENI,1980-01-03 21:00:00,-16.9,175.5, , 
PENI,1980-01-04 00:00:00,-17.5,175.8,45,987
PENI,1980-01-04 03:00:00,-18.1,176.2, , 
PENI,1980-01-04 06:00:00,-18.6,176.8, , 
PENI,1980-01-04 09:00:00,-19.1,177.4, , 
PENI,1980-01-04 12:00:00,-19.4,178.0,30,997
PENI,1980-01-04 15:00:00,-19.6,178.6, , 
PENI,1980-01-04 18:00:00,-19.6,179.2, , 
PENI,1980-01-04 21:00:00,-19.5,179.9, , 
PENI,1980-01-05 00:00:00,-19.6,180.7,30,997
PENI,1980-01-05 03:00:00,-19.8,181.6, , 
PENI,1980-01-05 06:00:00,-20.2,182.7, , 
PENI,1980-01-05 09:00:00,-20.5,183.9, , 
